S.No,data,type,sensedAt,id_sensor
163,200,co2-concentration,2025-06-17T07:53:48,66ce60b3fb392de5096acc24
164,29,temp,2025-06-17T07:53:48,66ce60b3fb392de5096acc24
165,50,humidity,2025-06-17T07:53:48,66ce60b3fb392de5096acc24
166,200,co2-concentration,2025-06-17T07:56:50,66ce60b3fb392de5096acc24
167,29,temp,2025-06-17T07:56:50,66ce60b3fb392de5096acc24
168,50,humidity,2025-06-17T07:56:50,66ce60b3fb392de5096acc24
169,200,co2-concentration,2025-06-17T07:59:53,66ce60b3fb392de5096acc24
170,29,temp,2025-06-17T07:59:53,66ce60b3fb392de5096acc24
171,50,humidity,2025-06-17T07:59:53,66ce60b3fb392de5096acc24
172,200,co2-concentration,2025-06-17T08:02:56,66ce60b3fb392de5096acc24
173,29,temp,2025-06-17T08:02:56,66ce60b3fb392de5096acc24
174,50,humidity,2025-06-17T08:02:56,66ce60b3fb392de5096acc24
175,200,co2-concentration,2025-06-17T08:05:58,66ce60b3fb392de5096acc24
176,29,temp,2025-06-17T08:05:58,66ce60b3fb392de5096acc24
177,50,humidity,2025-06-17T08:05:58,66ce60b3fb392de5096acc24
178,200,co2-concentration,2025-06-17T08:09:01,66ce60b3fb392de5096acc24
179,29,temp,2025-06-17T08:09:01,66ce60b3fb392de5096acc24
180,50,humidity,2025-06-17T08:09:01,66ce60b3fb392de5096acc24
181,200,co2-concentration,2025-06-17T08:12:03,66ce60b3fb392de5096acc24
182,29,temp,2025-06-17T08:12:03,66ce60b3fb392de5096acc24
183,50,humidity,2025-06-17T08:12:03,66ce60b3fb392de5096acc24
184,200,co2-concentration,2025-06-17T08:15:06,66ce60b3fb392de5096acc24
185,29,temp,2025-06-17T08:15:06,66ce60b3fb392de5096acc24
186,50,humidity,2025-06-17T08:15:06,66ce60b3fb392de5096acc24
187,200,co2-concentration,2025-06-17T08:18:08,66ce60b3fb392de5096acc24
188,29,temp,2025-06-17T08:18:08,66ce60b3fb392de5096acc24
189,50,humidity,2025-06-17T08:18:08,66ce60b3fb392de5096acc24
190,200,co2-concentration,2025-06-17T08:21:14,66ce60b3fb392de5096acc24
191,29,temp,2025-06-17T08:21:14,66ce60b3fb392de5096acc24
192,50,humidity,2025-06-17T08:21:14,66ce60b3fb392de5096acc24
193,200,co2-concentration,2025-06-17T08:24:16,66ce60b3fb392de5096acc24
194,29,temp,2025-06-17T08:24:16,66ce60b3fb392de5096acc24
195,50,humidity,2025-06-17T08:24:16,66ce60b3fb392de5096acc24
196,200,co2-concentration,2025-06-17T08:27:18,66ce60b3fb392de5096acc24
197,29,temp,2025-06-17T08:27:18,66ce60b3fb392de5096acc24
198,50,humidity,2025-06-17T08:27:18,66ce60b3fb392de5096acc24
199,200,co2-concentration,2025-06-17T08:30:21,66ce60b3fb392de5096acc24
200,29,temp,2025-06-17T08:30:21,66ce60b3fb392de5096acc24
201,50,humidity,2025-06-17T08:30:21,66ce60b3fb392de5096acc24
202,200,co2-concentration,2025-06-17T08:33:24,66ce60b3fb392de5096acc24
203,29,temp,2025-06-17T08:33:24,66ce60b3fb392de5096acc24
204,50,humidity,2025-06-17T08:33:24,66ce60b3fb392de5096acc24
