S.No,data,type,sensedAt,id_sensor
125,30,temp,2025-06-17T07:02:22,66ce6057fb392de5096aca27
126,54,humidity,2025-06-17T07:02:22,66ce6057fb392de5096aca27
127,3234.91,co2-concentration,2025-06-17T07:05:24,66ce6057fb392de5096aca27
128,30,temp,2025-06-17T07:05:24,66ce6057fb392de5096aca27
129,54,humidity,2025-06-17T07:05:24,66ce6057fb392de5096aca27
130,3234.91,co2-concentration,2025-06-17T07:08:26,66ce6057fb392de5096aca27
131,30,temp,2025-06-17T07:08:26,66ce6057fb392de5096aca27
132,54,humidity,2025-06-17T07:08:26,66ce6057fb392de5096aca27
133,3440.99,co2-concentration,2025-06-17T07:11:29,66ce6057fb392de5096aca27
134,30,temp,2025-06-17T07:11:29,66ce6057fb392de5096aca27
135,54,humidity,2025-06-17T07:11:29,66ce6057fb392de5096aca27
136,620.45,co2-concentration,2025-06-17T07:14:31,66ce6057fb392de5096aca27
137,30,temp,2025-06-17T07:14:31,66ce6057fb392de5096aca27
138,54,humidity,2025-06-17T07:14:31,66ce6057fb392de5096aca27
139,1061.3,co2-concentration,2025-06-17T07:17:33,66ce6057fb392de5096aca27
140,30,temp,2025-06-17T07:17:33,66ce6057fb392de5096aca27
141,54,humidity,2025-06-17T07:17:33,66ce6057fb392de5096aca27
142,3234.91,co2-concentration,2025-06-17T07:20:36,66ce6057fb392de5096aca27
143,30,temp,2025-06-17T07:20:36,66ce6057fb392de5096aca27
144,54,humidity,2025-06-17T07:20:36,66ce6057fb392de5096aca27
145,3336.96,co2-concentration,2025-06-17T07:23:38,66ce6057fb392de5096aca27
146,30,temp,2025-06-17T07:23:38,66ce6057fb392de5096aca27
147,54,humidity,2025-06-17T07:23:38,66ce6057fb392de5096aca27
148,3336.96,co2-concentration,2025-06-17T07:26:40,66ce6057fb392de5096aca27
149,30,temp,2025-06-17T07:26:40,66ce6057fb392de5096aca27
150,54,humidity,2025-06-17T07:26:40,66ce6057fb392de5096aca27
151,3440.99,co2-concentration,2025-06-17T07:29:43,66ce6057fb392de5096aca27
152,30,temp,2025-06-17T07:29:43,66ce6057fb392de5096aca27
